0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:05:22 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:05:45 +0530] "POST /LMS/submitBook HTTP/1.1" 200 4107
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:05:45 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:05:47 +0530] "GET /LMS/showLibraryRecord.jsp HTTP/1.1" 200 4332
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:05:47 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:06:41 +0530] "GET /LMS/issueBook.jsp HTTP/1.1" 200 4120
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:06:41 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:06:45 +0530] "GET /LMS/showLibraryRecord.jsp HTTP/1.1" 200 4332
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:06:45 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:15:20 +0530] "GET /LMS/showLibraryRecord.jsp HTTP/1.1" 200 4325
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:15:20 +0530] "GET /LMS/tableCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:15:20 +0530] "GET /LMS/headerCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:15:20 +0530] "GET /LMS/menuCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:15:20 +0530] "GET /LMS/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:15:20 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:15:22 +0530] "GET /LMS/submitBook.jsp HTTP/1.1" 200 3961
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:15:22 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:15:23 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:15:29 +0530] "GET /LMS/submitBook.jsp HTTP/1.1" 200 3961
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:15:29 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:15:33 +0530] "POST /LMS/submitBook HTTP/1.1" 200 4107
