0:0:0:0:0:0:0:1 - - [25/May/2014:01:00:33 +0530] "GET /LMS/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:01:00:33 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:01:00:33 +0530] "GET /LMS/modifyStudent1.jsp HTTP/1.1" 200 5625
0:0:0:0:0:0:0:1 - - [25/May/2014:01:00:33 +0530] "GET /LMS/headerCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:01:00:33 +0530] "GET /LMS/menuCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:01:00:33 +0530] "GET /LMS/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:01:00:33 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:01:00:33 +0530] "GET /LMS/modifyStudent1.jsp HTTP/1.1" 200 5625
0:0:0:0:0:0:0:1 - - [25/May/2014:01:00:33 +0530] "GET /LMS/headerCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:01:00:33 +0530] "GET /LMS/menuCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:01:00:33 +0530] "GET /LMS/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:01:00:33 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:01:03:02 +0530] "GET /LMS/logout HTTP/1.1" 200 1422
0:0:0:0:0:0:0:1 - - [25/May/2014:01:03:02 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:01:03:06 +0530] "POST /LMS/login HTTP/1.1" 200 2987
0:0:0:0:0:0:0:1 - - [25/May/2014:01:03:06 +0530] "GET /LMS/headerCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:01:03:06 +0530] "GET /LMS/menuCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:01:03:06 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:01:08:55 +0530] "POST /LMS/login HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [25/May/2014:01:08:55 +0530] "GET /LMS/headerCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:01:08:55 +0530] "GET /LMS/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:01:08:55 +0530] "GET /LMS/menuCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2014:01:08:55 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:01:09:18 +0530] "GET /LMS/changeSelfPassword1.jsp HTTP/1.1" 200 3522
0:0:0:0:0:0:0:1 - - [25/May/2014:01:09:18 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:01:09:21 +0530] "GET /LMS/addBook.jsp HTTP/1.1" 200 4661
0:0:0:0:0:0:0:1 - - [25/May/2014:01:09:21 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:01:09:26 +0530] "GET /LMS/modifyBook1.jsp HTTP/1.1" 200 3675
0:0:0:0:0:0:0:1 - - [25/May/2014:01:09:26 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:01:09:29 +0530] "GET /LMS/deleteBook.jsp HTTP/1.1" 200 3474
0:0:0:0:0:0:0:1 - - [25/May/2014:01:09:29 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:01:09:30 +0530] "GET /LMS/showAllBook.jsp HTTP/1.1" 200 3262
0:0:0:0:0:0:0:1 - - [25/May/2014:01:09:30 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:01:10:05 +0530] "GET /LMS/showAllBook.jsp HTTP/1.1" 200 3262
0:0:0:0:0:0:0:1 - - [25/May/2014:01:10:05 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:01:10:08 +0530] "GET /LMS/deleteBook.jsp HTTP/1.1" 200 3474
0:0:0:0:0:0:0:1 - - [25/May/2014:01:10:08 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:01:10:21 +0530] "GET /LMS/logout HTTP/1.1" 200 1422
0:0:0:0:0:0:0:1 - - [25/May/2014:01:10:21 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:01:10:27 +0530] "POST /LMS/login HTTP/1.1" 200 3286
0:0:0:0:0:0:0:1 - - [25/May/2014:01:10:28 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/May/2014:01:15:55 +0530] "POST /LMS/login HTTP/1.1" 200 3822
